9-Jan-23,,,,,,,,,,,,
"Average Federal Tax Rates for All Households,",,,,,,,,,,,,
"by Comprehensive Household Income Quintile, 1979-2019",,,,,,,,,,,,
,,,,,,,,,,,,
Year,Lowest Quintile,Second Quintile,Middle Quintile,Fourth Quintile,Highest Quintile,,All                Quintiles,,81st - 90th  Percentiles   ,91st - 95th Percentiles,96th - 99th Percentiles, Top 1%
2011,0.8,0.8,0.9,1.0,2.9,,2.0,,1.2,1.5,2.0,6.4
2012,0.9,0.8,0.9,1.1,3.3,,2.3,,1.3,1.6,2.3,6.7
2013,1.0,0.9,1.1,1.2,3.6,,2.5,,1.6,1.9,2.8,7.2
2014,1.1,1.0,1.1,1.3,3.8,,2.7,,1.7,2.1,3.1,7.3
2015,1.0,0.9,1.0,1.2,3.5,,2.5,,1.5,1.9,2.8,6.9
2016,0.9,0.9,1.0,1.1,3.4,,2.3,,1.4,1.8,2.6,6.8
2017,0.7,0.7,0.8,0.9,2.6,,1.8,,1.2,1.4,2.1,5.0
2018,0.6,0.6,0.7,0.8,2.2,,1.6,,1.0,1.2,1.8,4.2
2019,0.6,0.6,0.7,0.8,2.2,,1.5,,1.0,1.2,1.8,4.3
,,,,,,,,,,,,
Average Excise Tax Rate (percent),,,,,,,,,,,,
,,,,,,,,,,,,
1979,1.8,1.3,1.1,0.9,0.7,,1.0,,0.8,0.8,0.7,0.5
1980,1.5,1.1,0.9,0.8,0.6,,0.8,,0.7,0.7,0.6,0.4
1981,1.5,1.0,0.9,0.7,0.6,,0.8,,0.7,0.6,0.5,0.4
1982,1.6,1.1,0.9,0.8,0.6,,0.8,,0.7,0.6,0.5,0.3
1983,2.2,1.3,1.0,0.9,0.7,,0.9,,0.8,0.7,0.6,0.4
1984,2.4,1.4,1.1,1.0,0.7,,1.0,,0.8,0.8,0.7,0.4
1985,2.4,1.4,1.1,0.9,0.7,,0.9,,0.8,0.7,0.6,0.4
1986,2.2,1.3,1.1,0.9,0.6,,0.9,,0.8,0.7,0.6,0.4
1987,2.4,1.4,1.1,0.9,0.7,,0.9,,0.8,0.8,0.6,0.4
1988,2.2,1.4,1.1,0.9,0.6,,0.9,,0.8,0.7,0.6,0.4
1989,1.9,1.3,1.0,0.9,0.6,,0.8,,0.8,0.7,0.6,0.3
1990,2.0,1.3,1.0,0.9,0.6,,0.9,,0.8,0.7,0.6,0.3
1991,2.2,1.5,1.2,1.0,0.7,,1.0,,0.8,0.7,0.6,0.4
1992,2.3,1.5,1.2,1.0,0.7,,1.0,,0.9,0.8,0.6,0.3
1993,2.4,1.6,1.2,1.0,0.7,,1.0,,0.9,0.8,0.7,0.4
1994,2.6,1.7,1.3,1.1,0.7,,1.1,,0.9,0.8,0.7,0.4
1995,2.4,1.6,1.3,1.1,0.7,,1.0,,0.9,0.8,0.6,0.3
1996,2.2,1.5,1.2,0.9,0.6,,0.9,,0.8,0.7,0.6,0.3
1997,2.1,1.5,1.1,0.9,0.6,,0.9,,0.8,0.7,0.6,0.3
1998,2.1,1.5,1.2,0.9,0.6,,0.9,,0.8,0.7,0.6,0.2
1999,2.2,1.6,1.2,1.0,0.6,,1.0,,0.9,0.8,0.6,0.3
2000,2.1,1.4,1.2,0.9,0.5,,0.9,,0.8,0.7,0.5,0.2
2001,2.0,1.4,1.1,0.9,0.5,,0.9,,0.8,0.7,0.5,0.2
2002,2.0,1.4,1.1,0.9,0.5,,0.9,,0.7,0.6,0.5,0.3
2003,2.0,1.4,1.1,0.9,0.5,,0.8,,0.7,0.6,0.5,0.3
2004,1.8,1.3,1.1,0.9,0.5,,0.8,,0.7,0.6,0.5,0.3
2005,1.9,1.3,1.0,0.8,0.5,,0.8,,0.7,0.6,0.5,0.2
2006,1.9,1.2,0.9,0.7,0.4,,0.7,,0.6,0.5,0.4,0.2
2007,1.4,1.0,0.8,0.7,0.4,,0.6,,0.6,0.5,0.4,0.1
2008,1.6,1.0,0.8,0.6,0.4,,0.6,,0.5,0.5,0.4,0.2
2009,1.6,1.0,0.8,0.6,0.4,,0.6,,0.5,0.5,0.4,0.2
2010,1.7,1.1,0.9,0.6,0.4,,0.6,,0.5,0.4,0.4,0.2
2011,1.8,1.2,0.9,0.7,0.4,,0.7,,0.5,0.5,0.4,0.2
2012,1.9,1.2,0.9,0.7,0.4,,0.7,,0.6,0.5,0.4,0.2
2013,1.9,1.2,0.9,0.7,0.4,,0.7,,0.6,0.5,0.4,0.2
2014,1.9,1.3,1.0,0.8,0.5,,0.7,,0.7,0.6,0.4,0.2
2015,1.8,1.2,1.0,0.8,0.5,,0.7,,0.7,0.6,0.4,0.2
2016,1.6,1.2,0.9,0.7,0.4,,0.7,,0.6,0.5,0.4,0.2
2017,1.6,1.0,0.8,0.6,0.4,,0.6,,0.5,0.5,0.4,0.2
2018,1.6,1.1,0.9,0.7,0.4,,0.6,,0.6,0.5,0.4,0.2
2019,1.4,1.0,0.8,0.7,0.4,,0.6,,0.6,0.5,0.4,0.2
,,,,,,,,,,,,
"Source: Congressional Budget Office, https://www.cbo.gov/publication/58353",,,,,,,,,,,,
Notes: Effective tax rates are calculated by dividing taxes by comprehensive household income; * = between -0.05 and 0.05 percent.,,,,,,,,,,,,
"Comprehensive household income equals pretax cash income plus income from other sources. Pretax cash income is the sum of wages, salaries, self-employment income, rents, taxable and nontaxable interest, dividends, realized capital gains, cash transfer payments, and retirement benefits plus taxes paid by businesses (corporate income taxes and the employer's share of Social Security, Medicare, and federal unemployment insurance payroll taxes) and employee contributions to 401(k) retirement plans. Other sources of income include all in-kind benefits (Medicare, Medicaid, employer-paid health insurance premiums, food stamps, school lunches and breakfasts, housing assistance, and energy assistance). ",,,,,,,,,,,,
"Income categories are defined by ranking all people by their comprehensive household income adjusted for household size—that is, divided by the square root of the household’s size. (A household consists of the people who share a housing unit, regardless of their relationships.) Quintiles, or fifths, contain equal numbers of people. Households with negative income (business or investment losses larger than other income) are excluded from the lowest income category but are included in totals.",,,,,,,,,,,,
"Individual income taxes are attributed directly to households paying those taxes. Social insurance, or payroll, taxes are attributed to households paying those taxes directly or paying them indirectly through their employers. Corporate income taxes are attributed to households according to their share of capital income. Federal excise taxes are attributed to them according to their consumption of the taxed good or service. ",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
